 ,Area,Mean,Min,Max,X,Y,Perim.,BX,BY,Width,Height,Major,Minor,Angle,Median
1,1514.114,255,255,255,105.508,19.711,167.504,74.458,0.586,57.456,42.212,53.034,36.351,1.306,255
2,579.866,255,255,255,431.263,10.869,96.685,413.915,0.586,32.245,21.692,32.549,22.683,162.542,255
3,1260.100,255,255,255,488.234,13.251,150.789,458.472,0.586,56.283,28.142,54.588,29.391,171.223,255
4,349.226,255,255,255,648.287,6.165,91.710,632.598,0.586,36.936,13.484,33.190,13.397,4.977,255
5,1056.958,255,255,255,855.651,17.609,133.367,834.279,0.586,41.040,34.591,38.699,34.775,172.353,255
6,620.769,255,255,255,1022.393,14.250,95.595,1008.991,0.586,26.969,28.728,30.080,26.276,128.485,255
7,168.082,255,255,255,1115.003,6.664,51.558,1106.900,0.586,17.002,12.898,18.084,11.834,26.027,255
8,759.291,255,255,255,1366.877,8.757,132.171,1335.549,0.586,54.524,21.692,50.009,19.332,172.020,255
9,478.123,255,255,255,1475.210,10.077,84.414,1461.600,0.586,27.555,21.692,27.806,21.894,175.478,255
10,530.026,255,255,255,1529.784,9.181,97.597,1513.779,0.586,33.418,21.106,32.822,20.561,2.353,255
11,394.941,255,255,255,1656.427,9.711,78.267,1645.106,0.586,23.451,21.106,24.170,20.805,24.450,255
12,200.736,255,255,255,1964.021,3.957,81.701,1942.937,0.586,34.591,10.553,33.594,7.608,173.356,255
13,978.588,255,255,255,706.850,20.220,127.647,688.295,1.173,35.763,38.695,35.886,34.720,118.688,255
14,482.591,255,255,255,920.885,14.173,91.818,904.633,1.759,30.487,24.624,29.241,21.013,174.555,255
15,485.685,255,255,255,571.458,16.918,93.074,555.795,4.104,30.487,26.383,32.056,19.291,32.634,255
16,784.039,255,255,255,1952.647,19.401,110.804,1935.316,4.690,36.349,31.073,34.765,28.715,171.292,255
17,827.005,255,255,255,235.223,21.864,115.009,216.338,6.449,35.763,32.245,36.142,29.135,153.794,255
18,155.708,255,255,255,968.458,13.943,60.620,960.916,6.449,15.830,17.588,15.374,12.895,96.161,255
19,358.506,255,255,255,755.378,17.738,77.664,745.164,7.035,24.624,21.692,22.712,20.098,141.976,255
20,932.185,255,255,255,1601.645,27.911,120.896,1582.960,7.622,35.177,38.108,35.199,33.720,116.679,255
21,1313.377,255,255,255,2002.689,32.086,192.530,1979.287,10.553,52.179,38.695,48.744,34.307,6.816,255
22,591.553,255,255,255,1807.471,27.164,94.447,1792.263,12.898,29.900,27.555,29.995,25.110,161.665,255
23,838.004,255,255,255,645.483,30.011,121.215,627.321,14.071,33.418,34.591,39.191,27.225,129.969,255
24,104.149,255,255,255,201.835,19.818,40.544,194.059,14.657,15.243,11.726,14.509,9.139,152.608,255
25,781.633,255,255,255,1553.949,29.710,111.516,1536.058,14.657,39.281,30.487,35.705,27.873,166.518,255
26,822.537,255,255,255,1080.120,31.432,110.176,1063.515,15.830,32.245,34.004,34.876,30.029,123.729,255
27,173.238,255,255,255,2050.839,26.672,56.047,2044.950,15.830,11.139,21.106,19.571,11.271,97.778,255
28,1828.623,255,255,255,160.218,42.402,204.766,127.223,17.002,58.628,49.248,55.003,42.330,22.380,255
29,855.191,255,255,255,1633.047,36.336,119.984,1616.378,17.002,35.177,35.763,35.193,30.940,128.563,255
